"TagName","TagDef"
"Architecture","Related to how the service is architected and likely where any work to fix would require changes to the architecture of the service"
"Architecture.BlastRadius","The current architecture does not allow for the most blast radius reduction, or there is another issue related to the blast radius of the impact"
"Architecture.Caching","Related to the lack of or insufficient caching patterns or the presence of any caching anti-patterns"
"Architecture.ColdStart","An issue related to cold start"
"Architecture.Config.Others","This is a placeholder for any configuration related issue that is not covered in the above tags. The outages assigned under this should be reviewed periodically so that meaningful tags can be created and assigned as needed. "
"Architecture.Database","Related to the way a database was integrated into the overall architecture or design of the service or specific scenario"
"Architecture.Database.Change","A change to the database was a factor"
"Architecture.Database.Deadlock","An issue related database deadlocks"
"Architecture.Database.InconsistentDBSettings","The settings for the database(s) were inconsistent, leading to a runtime situation where different behavior existed for the instance(s)"
"Architecture.DesignLimitation","There is a limitation in the current design of the service that prevents that part of the architecture to adequately perform it's role or be changed to adapt to new conditions"
"Architecture.DesignReview","An issue related to missing design review"
"Architecture.DNS","Related to the way DNS was integrated into the overall architecture or design of the service or specific scenario"
"Architecture.DNS.Change","A change related to the DNS settings or the code that handles DNS integration for the service"
"Architecture.DNS.Latent","The issue was not caused solely by a code or configuration change"
"Architecture.DOS","An issue related to an architectural condition that creates a possible Denial of Service, but not necessarily one related to increased load"
"Architecture.FeatureFlag","An issue related to the use of feature flags"
"Architecture.http.sys","The service uses http.sys, which is not recommended, or the issue is related to how the service currently uses http.sys"
"Architecture.HyperV","Related to how the service uses HyperV"
"Architecture.InsufficientFailOver","An issue related to insufficient fail over"
"Architecture.Linux","Related to how the service uses Linux, or to indicate lack of Linux support for the solution"
"Architecture.LoadBalancing","Related to how the service balances load"
"Architecture.NoAutoFailover","The service did not or cannot fail over effectively from one region to another"
"Architecture.NoCanaryEnvironment","The service does not have a Canary environment, or the existing one is insufficient"
"Architecture.NoCircuitBreaker","The service continued to execute expensive operations when it should not have"
"Architecture.NoSoftDelete","The issue could have been mitigated by implementation of a Soft Delete pattern, or where the existing Soft Delete pattern was insufficient"
"Architecture.PlatformGap","There is a platform gap that should be filled.  Use a third-level-tag to name the service owning the gap"
"Architecture.Quorum","Related to insufficient quorum selection"
"Architecture.RegionsInconsistent","The service's regions are insufficient to be used interchangeably or there is another difference that prevents regions from delivering consistent behavior"
"Architecture.RegionsInconsistent.SKUMismatch","The inconsistent region was due to a SKU mismatch"
"Architecture.ReplicationLag","An issue related to replication log"
"Architecture.Resiliency","The service is lacking adequate overall resiliency"
"Architecture.Resiliency.CircularDependency","The service either prevents or is prevented from recovering because it depends on a service that depends on it at the same time either in sum or for a specific recovery scenario"
"Architecture.Security","An issue related to security"
"Architecture.SNAT","Related to how the service uses SNAT"
"Architecture.Snowflake","The service is architected in a very unusual way"
"Architecture.SPOF","The service has a single point of failure  ( SPOF ) that causes impact if a trigger event causes it to malfunction or not function"
"Architecture.SPOF.Config","The single point of failure  ( SPOF ) is due to configuration, and SDP is not used"
"Architecture.SPOF.ControlPlane","The single point of failure is in the service's control plane"
"Architecture.SPOF.Dependency","The single point of failure  ( SPOF ) is another service or other dependency"
"Architecture.SPOF.External","The single point of failure is external to Microsoft"
"Architecture.SPOF.SharedIdentity","The single point of failure is a shared identity"
"Architecture.SPOF.Singleton","The single point of failure ( SPOF ) is a single instance of something"
"Architecture.SystemsOfControl ","Additional guardrails are needed to keep our engineers safe from performing actions with unintended consequences"
"Auth","An authentication or authorization related issue"
"Auth.AAD.Authentication","An issue related to authentication using Azure Active Directory"
"Auth.Cert","Related to any certificate code, configuration, or ability to authenticate using the certificate infrastructure owned by Microsoft"
"Auth.Cert.AllowListing","An issue caused by failure of, improper use, or change to an allow list"
"Auth.Cert.Change","Related to a change in the certificate code, configuration or a rotation"
"Auth.Cert.Change","Related to a change in the certificate code, configuration or a rotation"
"Auth.Cert.CodeBug","A bug in non-platform cert management / handling Authoring.Code."
"Auth.Cert.Expiry","Any outage where an expired certificate contributed to or caused the impact"
"Auth.Cert.ManualRotation","An issue related to manual rotation of a certificate"
"Auth.Cert.ManualRotation","An issue related to manual rotation of a certificate"
"Auth.Cert.MissingPrerequisite","A condition required for successful use of a certificate was missing"
"Auth.Cert.NotAzure","Related to any certificate code, configuration, or ability to authenticate using the certificate infrastructure owned by a non-Microsoft entity"
"Auth.Cert.ProvisioningFailure","The client failed because it was unable to get a certificate or it’s chain. If the service is using the platform (AKV / dSMS + KV VM ext / ACMS Agent + OneCert), then it’s our problem to fix. If the service is using their own cert distribution solution or cert binding solution, then it’s the service’s problem"
"Auth.Cert.ProvisioningMistake","Human error resulted in the a bad cert, a cert with missing properties, a cert from an unsupported PKI."
"Auth.Cert.RevocationCheckFailed","The client fails because it is not able to validate the revocation status of a certificate. This is usually because the CRL or OCSP endpoints that contain the revocation status are unreachable."
"Auth.Cert.ThumbprintPinning","Any time a client expects the certificate to have a specific value but it doesn’t. This could be thumbprint pinning, it could be a specific subject name or serial number, or any other property of the certificate"
"Auth.Password.Change","An issue caused by changing of a password"
"Auth.Secrets","An issue related to secrets management"
"Auth.Secrets.Keys.Change","An issue related to a change in secret keys"
"Auth.Secrets.Keys.Expiry","A key secret expired"
"Auth.Secrets.Keys.Rotation","An issue related to rotation of secrets keys"
"Auth.Secrets.ManualChange","An issue related to manual change to a secret"
"Auth.Secrets.ManualChange","An issue related to manual change to a secret"
